Brand,Category,Subcategory,Section,Product,combinado,Sku,Url
3 en 1,Ferretería y Maderas,Lubricantes y aditivos Automotriz,Automotriz,Espuma Desengrasante 521 ml,3 en 1 Espuma Desengrasante 521 ml,270101080026721,https://s3.amazonaws.com/co-prod-shared-images/d59fe13b-064d-43d4-8256-3fcf7aa31dbb
3 en 1,Ferretería y Maderas,Aceites y Desengrasantes Multiproposito,Ferretería,Aceite Lubricante Gotero 90 ml,3 en 1 Aceite Lubricante Gotero 90 ml,120600180026735,https://s3.amazonaws.com/co-prod-shared-images/c013cdb0-276e-4a9c-a24a-d6c105f8c6c8
3 en 1,Ferretería y Maderas,Lubricantes y aditivos Automotriz,Automotriz,Limpiador de Contactos Eléctricos 300 ml,3 en 1 Limpiador de Contactos Eléctricos 300 ml,270103580026727,https://s3.amazonaws.com/co-prod-shared-images/98d9da7b-28ef-4a4a-961c-cdbe2d85ad1a
3 en 1,Ferretería y Maderas,Aceites y Desengrasantes Multiproposito,Ferretería,Aceite 3 en 1 Gotero 30 ml,3 en 1 Aceite 3 en 1 Gotero 30 ml,120600180003581,https://s3.amazonaws.com/co-prod-shared-images/7bc896f1-5c19-4d89-9f9f-7ba9aec34fe9
3 en 1,Ferretería y Maderas,Lubricantes y aditivos Automotriz,Automotriz,Lubricante de Cadenas para Moto 236 ml,3 en 1 Lubricante de Cadenas para Moto 236 ml,120601580026723,https://s3.amazonaws.com/co-prod-shared-images/bd52eaaa-b9ff-4482-8274-d68ff6088bf4
3 en 1,Ferretería y Maderas,Aceites y Desengrasantes Multiproposito,Ferretería,Grasa Blanca de Litio 282 ml,3 en 1 Grasa Blanca de Litio 282 ml,120602080026730,https://s3.amazonaws.com/co-prod-shared-images/bee56686-6428-4a8d-a5a8-dd9358d48367
3M,Ferretería y Maderas,Cintas,Ferretería,Cinta aislante PVC negra 19mm x 18m Temflex 165 (Mp),3M Cinta aislante PVC negra 19mm x 18m Temflex 165 (Mp),1203010GA042990,https://s3.amazonaws.com/co-prod-shared-images/3d8aae51-1e32-4ca2-9176-68c809201407
Abitare,Eléctricos e Iluminación,Iluminación,Electricos,Plafón Led Redondo 18W - easy,Abitare Plafón Led Redondo 18W - easy,17072004F006316,https://s3.amazonaws.com/co-prod-shared-images/57a260a8-92cc-48e9-8be1-e033141b2eea
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #180 de 9"" x 11"" 50 und","Abracol Lija de Agua #180 de 9"" x 11"" 50 und",20080103O013068,https://s3.amazonaws.com/co-prod-shared-images/d69e5517-9b3e-4860-b1a9-1ed44b146c4a
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #220 de 9"" x 11"" 50 und","Abracol Lija de Agua #220 de 9"" x 11"" 50 und",20080103O013054,https://s3.amazonaws.com/co-prod-shared-images/7b013250-9fc8-49b7-aca9-beed6dea1edd
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #400 de 9"" x 11"" 50 und","Abracol Lija de Agua #400 de 9"" x 11"" 50 und",20080103O013053,https://s3.amazonaws.com/co-prod-shared-images/ebcb536f-bd6f-4fb4-abcc-5c38062a8e26
Abracol,Herramientas,Lijas,Herramientas,"Lija en Rollo Multi-Flex #120 Rollo 4"" x25 m","Abracol Lija en Rollo Multi-Flex #120 Rollo 4"" x25 m",20081003O035377,https://s3.amazonaws.com/co-prod-shared-images/53646a18-f516-49bf-8bd1-564b21823792
Abracol,Herramientas,Lijas,Herramientas,"Lija en Rollo Multi-Flex #220Rollo 4"" x25 m","Abracol Lija en Rollo Multi-Flex #220Rollo 4"" x25 m",20081003O035380,https://s3.amazonaws.com/co-prod-shared-images/b4dacf0c-e9e5-4448-b524-eda88b5d1476
Abracol,Herramientas,Discos y Accesorios,Herramientas,"Disco de Corte Fino Tipo 1 de 7"" x 1/16 x 7/8  A46T Doble Propósito","Abracol Disco de Corte Fino Tipo 1 de 7"" x 1/16 x 7/8  A46T Doble Propósito",20023003O035405,https://s3.amazonaws.com/co-prod-shared-images/ad413eeb-e36d-4fed-a875-1b3a3ac53c21
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #150 de 9"" x 11"" 50 und","Abracol Lija de Agua #150 de 9"" x 11"" 50 und",20080103O013045,https://s3.amazonaws.com/co-prod-shared-images/e4972888-72b3-417a-a487-0ac21e834257
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #240 de 9"" x 11"" 50 und","Abracol Lija de Agua #240 de 9"" x 11"" 50 und",20080103O035256,https://s3.amazonaws.com/co-prod-shared-images/f38ac01c-25d2-4f6c-9fa2-47d205b3e24b
Abracol,Herramientas,Lijas,Herramientas,"Lija Roja #400 de 9"""" x 11"""" 50 und","Abracol Lija Roja #400 de 9"""" x 11"""" 50 und",20080103O013066,https://s3.amazonaws.com/co-prod-shared-images/ab467327-ee91-42c1-9b8c-69a6a7febd74
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #600 de 9"" x 11"" 50 und","Abracol Lija de Agua #600 de 9"" x 11"" 50 und",20080103O013057,https://s3.amazonaws.com/co-prod-shared-images/0cdd1419-f77c-4330-9088-8910b4ed7dde
Abracol,Herramientas,Discos y Accesorios,Herramientas,"Disco de Corte Fino Tipo 1 de 9"""" x  1/16 x 7/8  A46T Doble Propósito","Abracol Disco de Corte Fino Tipo 1 de 9"""" x  1/16 x 7/8  A46T Doble Propósito",20023003O035406,https://s3.amazonaws.com/co-prod-shared-images/a42917f5-8c39-4dbf-a43c-b2f0ecd80035
