marca,sku,cat,producto,combinado,url
Abracol,20080103O013045,Herramientas,"Lija de Agua #150 de 9"" x 11"" 50 und","Abracol Herramientas Lija de Agua #150 de 9"" x 11"" 50 und",https://s3.amazonaws.com/co-prod-shared-images/e4972888-72b3-417a-a487-0ac21e834257
Abracol,20023003O035404,Herramientas,Disco de Corte Fino Tipo 1 de 4 1/2 x 1 x 7/8  A46T Doble Propósito,Abracol Herramientas Disco de Corte Fino Tipo 1 de 4 1/2 x 1 x 7/8  A46T Doble Propósito,https://s3.amazonaws.com/co-prod-shared-images/a0cbd9a5-62bc-4455-9481-57b944c138c7
Aceros Turia,120160081007726,Ferretería,"Puntillas 2-1/2"" x 400 g","Aceros Turia Ferretería Puntillas 2-1/2"" x 400 g",https://s3.amazonaws.com/co-prod-shared-images/1dc9baf4-e66e-46fa-937c-23868beacae7
Aceros Turia,120160081031046,Ferretería,"Clavo Pulido c/Cabeza 3"" x 25 kg","Aceros Turia Ferretería Clavo Pulido c/Cabeza 3"" x 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/44f17d8a-3330-4f37-853f-f9e0cc0b1f7f
Aceros Turia,120160081007725,Ferretería,"Puntillas 2"" x 400 g","Aceros Turia Ferretería Puntillas 2"" x 400 g",https://s3.amazonaws.com/co-prod-shared-images/98c53b9f-f081-405b-95a5-2fd70d688c5c
Aceros Turia,120160081007727,Ferretería,"Puntillas 3"" x 400 g","Aceros Turia Ferretería Puntillas 3"" x 400 g",https://s3.amazonaws.com/co-prod-shared-images/38ddcfef-d97e-4b8e-b8cc-3a41e503e21b
Aceros Turia,120120081010599,Ferretería,"Clavo Pulido c/Cabeza 4"" - 25 kg","Aceros Turia Ferretería Clavo Pulido c/Cabeza 4"" - 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/36ca2bf4-506a-4a23-bd0e-ca2ab8bcd8c4
Aceros Turia,120160081007729,Ferretería,"Puntillas 2-1/2"" x 500 g","Aceros Turia Ferretería Puntillas 2-1/2"" x 500 g",https://s3.amazonaws.com/co-prod-shared-images/095c7ca1-f99e-4d73-a445-faf4381c54fd
Aceros Turia,170612081010606,Herramientas,"Soldadura 6013 1/8"" x 10 kg","Aceros Turia Herramientas Soldadura 6013 1/8"" x 10 kg",https://s3.amazonaws.com/mx-prod-shared-images/e844c064-360d-47da-9297-2d475aa5979a
Aceros Turia,120120081010600,Ferretería,"Clavo Concreto 2-1/2"" - 20 kg","Aceros Turia Ferretería Clavo Concreto 2-1/2"" - 20 kg",https://s3.amazonaws.com/mx-prod-shared-images/8c47a40e-faf2-42a7-87eb-c7600ebe4e2f
Aceros Turia,120160081031044,Ferretería,"Clavo Pulido c/Cabeza 2"" x 25 kg","Aceros Turia Ferretería Clavo Pulido c/Cabeza 2"" x 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/866275cf-870b-4cc3-8186-f3feb5198b37
Aceros Turia,120120081010598,Ferretería,"Clavo Pulido c/Cabeza 2-1/2"" - 25 kg","Aceros Turia Ferretería Clavo Pulido c/Cabeza 2-1/2"" - 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/de953908-54a6-4f96-94f0-fa80624cfce2
Aceros Turia,120160081031043,Ferretería,"Clavo Pulido c/Cabeza 1-1/2"" x 25 kg","Aceros Turia Ferretería Clavo Pulido c/Cabeza 1-1/2"" x 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/fe721c0a-88e8-4e84-85b5-eb26e0a20c49
Acuario,15017309M011330,Pinturas,Pintura Aerosol Negro Brillante 400 ml,Acuario Pinturas Pintura Aerosol Negro Brillante 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/e187e1b8-ed4d-40a8-81d2-31fef468a612
Acuario,15017009M034685,Pinturas,Pintura Aerosol Ultra Rojo 400 ml,Acuario Pinturas Pintura Aerosol Ultra Rojo 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/af3187cc-2173-4ee8-bdd5-6b08a64db014
Acuario,15017309M011331,Pinturas,Pintura Aerosol Blanco Brillante Pabla x 400 mL,Acuario Pinturas Pintura Aerosol Blanco Brillante Pabla x 400 mL,https://s3.amazonaws.com/mx-prod-shared-images/0d19a6aa-4171-4db4-982a-03f83d2fe87f
Acuario,15017309M011337,Pinturas,Pintura Aerosol Tipo Cromo 400 ml,Acuario Pinturas Pintura Aerosol Tipo Cromo 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/d4e74b10-2f73-40f3-a27a-4e349ad1701e
Acuario,15017009M034674,Pinturas,Pintura Aerosol Gris Primario 400 ml,Acuario Pinturas Pintura Aerosol Gris Primario 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/8fcfe788-14f3-4828-9593-d2c906950f7b
Acuario,15017309M011334,Pinturas,Pintura Aerosol Transparente 400 ml,Acuario Pinturas Pintura Aerosol Transparente 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/4752cd95-5a9b-4fe4-bc7b-3757b3a7970c
Acuario,15017309M011333,Pinturas,Pintura Aerosol Aluminio 400 ml,Acuario Pinturas Pintura Aerosol Aluminio 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/03ff4ac2-20cd-407e-b995-b584d772f129
Acuario,15017309M011338,Pinturas,Pintura Aerosol Blanco Mate 400 ml,Acuario Pinturas Pintura Aerosol Blanco Mate 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/1c9f69f1-6cfe-43ae-8cfc-18847e5b6dc1
Acuario,15017309M011332,Pinturas,Pintura Aerosol Negro Mate 400 ml,Acuario Pinturas Pintura Aerosol Negro Mate 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/56876b1b-f486-44bc-b674-9d25e34a0f8f
Acuario,15017309M011336,Pinturas,Pintura Aerosol Bermellon Rojo 400 ml,Acuario Pinturas Pintura Aerosol Bermellon Rojo 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/5dbf9b32-3be4-46c6-91a8-f9b7c2361e1d
Acuario,15017309M011339,Pinturas,Pintura Aerosol Chocolate Pachoco x 400 mL,Acuario Pinturas Pintura Aerosol Chocolate Pachoco x 400 mL,https://s3.amazonaws.com/mx-prod-shared-images/991afca9-f9b6-4ce8-b116-ad8e0c69c60e
Acuario,15017309M011341,Pinturas,Pintura Aerosol Oro Rico 400 ml,Acuario Pinturas Pintura Aerosol Oro Rico 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/913bdace-f399-4269-81f8-64660303426f
Acuario,15017309M011335,Pinturas,Pintura Aerosol Negro Satinado 400 ml,Acuario Pinturas Pintura Aerosol Negro Satinado 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/f9adc5cf-c3f7-4109-b6ac-88dff22861d6
